checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
no checking,21,existing paid,used car,5248,no known savings,between 1 and 4 years,1,male single,none,3,car,26,none,own,1,skilled,1,none,yes,good
no checking,15,existing paid,used car,3029,less 100,between 4 and 7 years,2,male single,none,2,car,33,none,own,1,skilled,1,none,yes,good
less 0,6,existing paid,furniture/equipment,428,less 100,greater 7 years,2,female div/dep/mar,none,1,life insurance,49,bank,own,1,skilled,1,yes,yes,good
less 0,18,existing paid,new car,976,less 100,less 1 year,1,female div/dep/mar,none,2,car,23,none,own,1,unskilled resident,1,none,yes,bad
between 0 and 200,12,existing paid,business,841,between 100 and 500,between 4 and 7 years,2,female div/dep/mar,none,4,real estate,23,none,rent,1,unskilled resident,1,none,yes,good
no checking,30,critical/other existing credit,radio/tv,5771,less 100,between 4 and 7 years,4,female div/dep/mar,none,2,car,25,none,own,2,skilled,1,none,yes,good
no checking,12,delayed previously,repairs,1555,greater 1000,greater 7 years,4,male single,none,4,no known property,55,none,for free,2,skilled,2,none,yes,bad
less 0,24,existing paid,new car,1285,no known savings,between 4 and 7 years,4,female div/dep/mar,none,4,no known property,32,none,rent,1,skilled,1,none,yes,bad
greater 200,6,critical/other existing credit,new car,1299,less 100,between 1 and 4 years,1,male single,none,1,real estate,74,none,own,3,unemp/unskilled non res,2,none,no,good
greater 200,15,critical/other existing credit,radio/tv,1271,no known savings,between 1 and 4 years,3,male single,none,4,no known property,39,none,for free,2,skilled,1,yes,yes,bad
no checking,24,existing paid,new car,1393,less 100,between 1 and 4 years,2,male single,guarantor,2,real estate,31,none,own,1,skilled,1,yes,yes,good
less 0,12,critical/other existing credit,new car,691,less 100,greater 7 years,4,male single,none,3,life insurance,35,none,own,2,skilled,1,none,yes,bad
no checking,15,critical/other existing credit,new car,5045,no known savings,greater 7 years,1,female div/dep/mar,none,4,car,59,none,own,1,skilled,1,yes,yes,good
less 0,18,critical/other existing credit,furniture/equipment,2124,less 100,between 1 and 4 years,4,female div/dep/mar,none,4,real estate,24,none,rent,2,skilled,1,none,yes,bad
less 0,12,existing paid,radio/tv,2214,less 100,between 1 and 4 years,4,male single,none,3,life insurance,24,none,own,1,unskilled resident,1,none,yes,good
no checking,21,critical/other existing credit,new car,12680,no known savings,greater 7 years,4,male single,none,4,no known property,30,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,24,critical/other existing credit,new car,2463,between 100 and 500,between 4 and 7 years,4,male mar/wid,none,3,life insurance,27,none,own,2,skilled,1,yes,yes,good
between 0 and 200,12,existing paid,radio/tv,1155,less 100,greater 7 years,3,male mar/wid,guarantor,3,real estate,40,bank,own,2,unskilled resident,1,none,yes,good
less 0,30,existing paid,furniture/equipment,3108,less 100,less 1 year,2,male div/sep,none,4,life insurance,31,none,own,1,unskilled resident,1,none,yes,bad
no checking,10,existing paid,used car,2901,no known savings,less 1 year,1,female div/dep/mar,none,4,real estate,31,none,rent,1,skilled,1,none,yes,good
between 0 and 200,12,critical/other existing credit,furniture/equipment,3617,less 100,greater 7 years,1,male single,none,4,car,28,none,rent,3,skilled,1,yes,yes,good
no checking,12,critical/other existing credit,radio/tv,1655,less 100,greater 7 years,2,male single,none,4,real estate,63,none,own,2,unskilled resident,1,yes,yes,good
less 0,24,existing paid,used car,2812,no known savings,greater 7 years,2,female div/dep/mar,none,4,real estate,26,none,rent,1,skilled,1,none,yes,good
less 0,36,critical/other existing credit,education,8065,less 100,between 1 and 4 years,3,female div/dep/mar,none,2,no known property,25,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,21,critical/other existing credit,used car,3275,less 100,greater 7 years,1,male single,none,4,car,36,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,24,critical/other existing credit,radio/tv,2223,between 100 and 500,greater 7 years,4,male single,none,4,life insurance,52,bank,own,2,skilled,1,none,yes,good
greater 200,12,critical/other existing credit,new car,1480,between 500 and 1000,unemployed,2,male single,none,4,no known property,66,bank,for free,3,unemp/unskilled non res,1,none,yes,good
less 0,24,existing paid,new car,1371,no known savings,between 1 and 4 years,4,female div/dep/mar,none,4,real estate,25,none,rent,1,skilled,1,none,yes,bad
no checking,36,critical/other existing credit,new car,3535,less 100,between 4 and 7 years,4,male single,none,4,car,37,none,own,2,skilled,1,yes,yes,good
less 0,18,existing paid,radio/tv,3509,less 100,between 4 and 7 years,4,female div/dep/mar,guarantor,1,real estate,25,none,own,1,skilled,1,none,yes,good
no checking,36,critical/other existing credit,used car,5711,greater 1000,greater 7 years,4,male single,none,2,car,38,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
between 0 and 200,18,existing paid,repairs,3872,less 100,unemployed,2,female div/dep/mar,none,4,car,67,none,own,1,skilled,1,yes,yes,good
between 0 and 200,39,critical/other existing credit,radio/tv,4933,less 100,between 4 and 7 years,2,male single,guarantor,2,real estate,25,none,own,2,skilled,1,none,yes,bad
no checking,24,critical/other existing credit,new car,1940,greater 1000,greater 7 years,4,male single,none,4,real estate,60,none,own,1,skilled,1,yes,yes,good
between 0 and 200,12,no credits/all paid,retraining,1410,less 100,between 1 and 4 years,2,male single,none,2,real estate,31,none,own,1,unskilled resident,1,yes,yes,good
between 0 and 200,12,existing paid,new car,836,between 100 and 500,less 1 year,4,female div/dep/mar,none,2,life insurance,23,bank,own,1,unskilled resident,1,none,yes,bad
between 0 and 200,20,existing paid,used car,6468,no known savings,unemployed,1,male div/sep,none,4,real estate,60,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
between 0 and 200,18,existing paid,business,1941,greater 1000,between 1 and 4 years,4,male single,none,2,life insurance,35,none,own,1,unskilled resident,1,yes,yes,good
no checking,22,existing paid,radio/tv,2675,between 500 and 1000,greater 7 years,3,male single,none,4,car,40,none,own,1,skilled,1,none,yes,good
no checking,48,critical/other existing credit,used car,2751,no known savings,greater 7 years,4,male single,none,3,car,38,none,own,2,skilled,2,yes,yes,good
between 0 and 200,48,delayed previously,education,6224,less 100,greater 7 years,4,male single,none,4,no known property,50,none,for free,1,skilled,1,none,yes,bad
less 0,40,critical/other existing credit,education,5998,less 100,between 1 and 4 years,4,male single,none,3,no known property,27,bank,own,1,skilled,1,yes,yes,bad
between 0 and 200,21,existing paid,business,1188,less 100,greater 7 years,2,female div/dep/mar,none,4,life insurance,39,none,own,1,skilled,2,none,yes,bad
no checking,24,existing paid,used car,6313,no known savings,greater 7 years,3,male single,none,4,car,41,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good
no checking,6,critical/other existing credit,furniture/equipment,1221,no known savings,between 1 and 4 years,1,male mar/wid,none,2,life insurance,27,none,own,2,skilled,1,none,yes,good
greater 200,24,existing paid,furniture/equipment,2892,less 100,greater 7 years,3,male div/sep,none,4,no known property,51,none,for free,1,skilled,1,none,yes,good
no checking,24,existing paid,furniture/equipment,3062,between 500 and 1000,greater 7 years,4,male single,none,3,no known property,32,none,rent,1,skilled,1,yes,yes,good
no checking,9,existing paid,furniture/equipment,2301,between 100 and 500,less 1 year,2,female div/dep/mar,none,4,life insurance,22,none,rent,1,skilled,1,none,yes,good
less 0,18,existing paid,used car,7511,no known savings,greater 7 years,1,male single,none,4,life insurance,51,none,for free,1,skilled,2,yes,yes,bad
no checking,12,critical/other existing credit,furniture/equipment,1258,less 100,less 1 year,2,female div/dep/mar,none,4,life insurance,22,none,rent,2,unskilled resident,1,none,yes,good
no checking,24,delayed previously,new car,717,no known savings,greater 7 years,4,male mar/wid,none,4,car,54,none,own,2,skilled,1,yes,yes,good
between 0 and 200,9,existing paid,new car,1549,no known savings,less 1 year,4,male single,none,2,real estate,35,none,own,1,unemp/unskilled non res,1,none,yes,good
no checking,24,critical/other existing credit,education,1597,less 100,greater 7 years,4,male single,none,4,no known property,54,none,for free,2,skilled,2,none,yes,good
between 0 and 200,18,critical/other existing credit,radio/tv,1795,less 100,greater 7 years,3,female div/dep/mar,guarantor,4,real estate,48,bank,rent,2,unskilled resident,1,yes,yes,good
less 0,20,critical/other existing credit,furniture/equipment,4272,less 100,greater 7 years,1,female div/dep/mar,none,4,life insurance,24,none,own,2,skilled,1,none,yes,good
no checking,12,critical/other existing credit,radio/tv,976,no known savings,greater 7 years,4,male single,none,4,car,35,none,own,2,skilled,1,none,yes,good
between 0 and 200,12,existing paid,new car,7472,no known savings,unemployed,1,female div/dep/mar,none,2,real estate,24,none,rent,1,unemp/unskilled non res,1,none,yes,good
less 0,36,existing paid,new car,9271,less 100,between 4 and 7 years,2,male single,none,1,car,24,none,own,1,skilled,1,yes,yes,bad
between 0 and 200,6,existing paid,radio/tv,590,less 100,less 1 year,3,male mar/wid,none,3,real estate,26,none,own,1,unskilled resident,1,none,no,good
no checking,12,critical/other existing credit,radio/tv,930,no known savings,greater 7 years,4,male single,none,4,real estate,65,none,own,4,skilled,1,none,yes,good
between 0 and 200,42,all paid,used car,9283,less 100,unemployed,1,male single,none,2,no known property,55,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
between 0 and 200,15,no credits/all paid,new car,1778,less 100,less 1 year,2,female div/dep/mar,none,1,real estate,26,none,rent,2,unemp/unskilled non res,1,none,yes,bad
between 0 and 200,8,existing paid,business,907,less 100,less 1 year,3,male mar/wid,none,2,real estate,26,none,own,1,skilled,1,yes,yes,good
between 0 and 200,6,existing paid,radio/tv,484,less 100,between 4 and 7 years,3,male mar/wid,guarantor,3,real estate,28,bank,own,1,unskilled resident,1,none,yes,good
less 0,36,critical/other existing credit,used car,9629,less 100,between 4 and 7 years,4,male single,none,4,car,24,none,own,2,skilled,1,yes,yes,bad
less 0,48,existing paid,domestic appliance,3051,less 100,between 1 and 4 years,3,male single,none,4,car,54,none,own,1,skilled,1,none,yes,bad
less 0,48,existing paid,new car,3931,less 100,between 4 and 7 years,4,male single,none,4,no known property,46,none,for free,1,skilled,2,none,yes,bad
between 0 and 200,36,delayed previously,new car,7432,less 100,between 1 and 4 years,2,female div/dep/mar,none,2,life insurance,54,none,rent,1,skilled,1,none,yes,good
no checking,6,existing paid,domestic appliance,1338,between 500 and 1000,between 1 and 4 years,1,male div/sep,none,4,real estate,62,none,own,1,skilled,1,none,yes,good
no checking,6,critical/other existing credit,radio/tv,1554,less 100,between 4 and 7 years,1,female div/dep/mar,none,2,car,24,none,rent,2,skilled,1,yes,yes,good
less 0,36,existing paid,other,15857,less 100,unemployed,2,male div/sep,co applicant,3,car,43,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
less 0,18,existing paid,radio/tv,1345,less 100,between 1 and 4 years,4,male mar/wid,none,3,real estate,26,bank,own,1,skilled,1,none,yes,bad
no checking,12,existing paid,new car,1101,less 100,between 1 and 4 years,3,male mar/wid,none,2,real estate,27,none,own,2,skilled,1,yes,yes,good
greater 200,12,existing paid,radio/tv,3016,less 100,between 1 and 4 years,3,male mar/wid,none,1,car,24,none,own,1,skilled,1,none,yes,good
less 0,36,existing paid,furniture/equipment,2712,less 100,greater 7 years,2,male single,none,2,life insurance,41,bank,own,1,skilled,2,none,yes,bad
less 0,8,critical/other existing credit,new car,731,less 100,greater 7 years,4,male single,none,4,real estate,47,none,own,2,unskilled resident,1,none,yes,good
no checking,18,critical/other existing credit,furniture/equipment,3780,less 100,less 1 year,3,male div/sep,none,2,car,35,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
less 0,21,critical/other existing credit,new car,1602,less 100,greater 7 years,4,male mar/wid,none,3,car,30,none,own,2,skilled,1,yes,yes,good
less 0,18,critical/other existing credit,new car,3966,less 100,greater 7 years,1,female div/dep/mar,none,4,real estate,33,bank,rent,3,skilled,1,yes,yes,bad
no checking,18,no credits/all paid,business,4165,less 100,between 1 and 4 years,2,male single,none,2,car,36,stores,own,2,skilled,2,none,yes,bad
less 0,36,existing paid,used car,8335,no known savings,greater 7 years,3,male single,none,4,no known property,47,none,for free,1,skilled,1,none,yes,bad
between 0 and 200,48,delayed previously,business,6681,no known savings,between 1 and 4 years,4,male single,none,4,no known property,38,none,for free,1,skilled,2,yes,yes,good
no checking,24,delayed previously,business,2375,between 500 and 1000,between 1 and 4 years,4,male single,none,2,car,44,none,own,2,skilled,2,yes,yes,good
less 0,18,existing paid,new car,1216,less 100,less 1 year,4,female div/dep/mar,none,3,car,23,none,rent,1,skilled,1,yes,yes,bad
less 0,45,no credits/all paid,business,11816,less 100,greater 7 years,2,male single,none,4,car,29,none,rent,2,skilled,1,none,yes,bad
between 0 and 200,24,existing paid,radio/tv,5084,no known savings,greater 7 years,2,female div/dep/mar,none,4,car,42,none,own,1,skilled,1,yes,yes,good
greater 200,15,existing paid,radio/tv,2327,less 100,less 1 year,2,female div/dep/mar,none,3,real estate,25,none,own,1,unskilled resident,1,none,yes,bad
less 0,12,no credits/all paid,new car,1082,less 100,between 1 and 4 years,4,male single,none,4,car,48,bank,own,2,skilled,1,none,yes,bad
no checking,12,existing paid,radio/tv,886,no known savings,between 1 and 4 years,4,female div/dep/mar,none,2,car,21,none,own,1,skilled,1,none,yes,good
no checking,4,existing paid,furniture/equipment,601,less 100,less 1 year,1,female div/dep/mar,none,3,real estate,23,none,rent,1,unskilled resident,2,none,yes,good
less 0,24,critical/other existing credit,used car,2957,less 100,greater 7 years,4,male single,none,4,life insurance,63,none,own,2,skilled,1,yes,yes,good
no checking,24,critical/other existing credit,radio/tv,2611,less 100,greater 7 years,4,male mar/wid,co applicant,3,real estate,46,none,own,2,skilled,1,none,yes,good
less 0,36,existing paid,furniture/equipment,5179,less 100,between 4 and 7 years,4,male single,none,2,life insurance,29,none,own,1,skilled,1,none,yes,bad
no checking,21,delayed previously,used car,2993,less 100,between 1 and 4 years,3,male single,none,2,real estate,28,stores,own,2,unskilled resident,1,none,yes,good
no checking,18,existing paid,repairs,1943,less 100,less 1 year,4,female div/dep/mar,none,4,real estate,23,none,own,1,skilled,1,none,yes,bad
no checking,24,all paid,business,1559,less 100,between 4 and 7 years,4,male single,none,4,car,50,bank,own,1,skilled,1,yes,yes,good
no checking,18,existing paid,furniture/equipment,3422,less 100,greater 7 years,4,male single,none,4,life insurance,47,bank,own,3,skilled,2,yes,yes,good
between 0 and 200,21,existing paid,furniture/equipment,3976,no known savings,between 4 and 7 years,2,male single,none,3,car,35,none,own,1,skilled,1,yes,yes,good
no checking,18,existing paid,new car,6761,no known savings,between 1 and 4 years,2,male single,none,4,car,68,none,rent,2,skilled,1,none,yes,bad
no checking,24,existing paid,new car,1249,less 100,less 1 year,4,male mar/wid,none,2,real estate,28,none,own,1,skilled,1,none,yes,good
less 0,9,existing paid,radio/tv,1364,less 100,between 4 and 7 years,3,male single,none,4,real estate,59,none,own,1,skilled,1,none,yes,good
less 0,12,existing paid,radio/tv,709,less 100,greater 7 years,4,male single,none,4,real estate,57,stores,own,1,unskilled resident,1,none,yes,bad
less 0,20,critical/other existing credit,new car,2235,less 100,between 1 and 4 years,4,male mar/wid,guarantor,2,life insurance,33,bank,rent,2,skilled,1,none,no,bad
no checking,24,critical/other existing credit,used car,4042,no known savings,between 4 and 7 years,3,male single,none,4,life insurance,43,none,own,2,skilled,1,yes,yes,good
no checking,15,critical/other existing credit,radio/tv,1471,less 100,between 1 and 4 years,4,male single,none,4,no known property,35,none,for free,2,skilled,1,yes,yes,good
less 0,18,all paid,new car,1442,less 100,between 4 and 7 years,4,male single,none,4,no known property,32,none,for free,2,unskilled resident,2,none,yes,bad
no checking,36,delayed previously,new car,10875,less 100,greater 7 years,2,male single,none,2,car,45,none,own,2,skilled,2,yes,yes,good
no checking,24,existing paid,new car,1474,between 100 and 500,less 1 year,4,male mar/wid,none,3,real estate,33,none,own,1,skilled,1,yes,yes,good
no checking,10,existing paid,retraining,894,no known savings,between 4 and 7 years,4,female div/dep/mar,none,3,life insurance,40,none,own,1,skilled,1,yes,yes,good
no checking,15,critical/other existing credit,furniture/equipment,3343,less 100,between 1 and 4 years,4,male single,none,2,no known property,28,none,for free,1,skilled,1,yes,yes,good
less 0,15,existing paid,new car,3959,less 100,between 1 and 4 years,3,female div/dep/mar,none,2,life insurance,29,none,own,1,skilled,1,yes,yes,bad
no checking,9,existing paid,new car,3577,between 100 and 500,between 1 and 4 years,1,male single,guarantor,2,real estate,26,none,rent,1,skilled,2,none,no,good
no checking,24,critical/other existing credit,used car,5804,greater 1000,between 1 and 4 years,4,male single,none,2,real estate,27,none,own,2,skilled,1,none,yes,good
no checking,18,delayed previously,business,2169,less 100,between 1 and 4 years,4,male mar/wid,none,2,car,28,none,own,1,skilled,1,yes,yes,bad
less 0,24,existing paid,radio/tv,2439,less 100,less 1 year,4,female div/dep/mar,none,4,real estate,35,none,own,1,skilled,1,yes,yes,bad
no checking,27,critical/other existing credit,furniture/equipment,4526,greater 1000,less 1 year,4,male single,none,2,real estate,32,stores,own,2,unskilled resident,2,yes,yes,good
no checking,10,existing paid,furniture/equipment,2210,less 100,between 1 and 4 years,2,male single,none,2,real estate,25,bank,rent,1,unskilled resident,1,none,yes,bad
no checking,15,existing paid,furniture/equipment,2221,between 500 and 1000,between 1 and 4 years,2,female div/dep/mar,none,4,car,20,none,rent,1,skilled,1,none,yes,good
less 0,18,existing paid,radio/tv,2389,less 100,less 1 year,4,female div/dep/mar,none,1,car,27,stores,own,1,skilled,1,none,yes,good
no checking,12,critical/other existing credit,furniture/equipment,3331,less 100,greater 7 years,2,male single,none,4,life insurance,42,stores,own,1,skilled,1,none,yes,good
no checking,36,existing paid,business,7409,no known savings,greater 7 years,3,male single,none,2,life insurance,37,none,own,2,skilled,1,none,yes,good
less 0,12,existing paid,furniture/equipment,652,less 100,greater 7 years,4,female div/dep/mar,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,good
no checking,36,delayed previously,furniture/equipment,7678,between 500 and 1000,between 4 and 7 years,2,female div/dep/mar,none,4,car,40,none,own,2,skilled,1,yes,yes,good
greater 200,6,critical/other existing credit,new car,1343,less 100,greater 7 years,1,male single,none,4,real estate,46,none,own,2,skilled,2,none,no,good
less 0,24,critical/other existing credit,business,1382,between 100 and 500,between 4 and 7 years,4,male single,none,1,real estate,26,none,own,2,skilled,1,yes,yes,good
no checking,15,existing paid,domestic appliance,874,no known savings,less 1 year,4,female div/dep/mar,none,1,real estate,24,none,own,1,skilled,1,none,yes,good
less 0,12,existing paid,furniture/equipment,3590,less 100,between 1 and 4 years,2,male single,co applicant,2,life insurance,29,none,own,1,unskilled resident,2,none,yes,good
between 0 and 200,11,critical/other existing credit,new car,1322,greater 1000,between 1 and 4 years,4,female div/dep/mar,none,4,car,40,none,own,2,skilled,1,none,yes,good
less 0,18,all paid,radio/tv,1940,less 100,less 1 year,3,male single,co applicant,4,no known property,36,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,36,existing paid,radio/tv,3595,less 100,greater 7 years,4,male single,none,2,car,28,none,own,1,skilled,1,none,yes,good
less 0,9,existing paid,new car,1422,less 100,less 1 year,3,male single,none,2,no known property,27,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,30,critical/other existing credit,radio/tv,6742,no known savings,between 4 and 7 years,2,male single,none,3,life insurance,36,none,own,2,skilled,1,none,yes,good
no checking,24,existing paid,used car,7814,less 100,between 4 and 7 years,3,male single,none,3,car,38,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,24,existing paid,used car,9277,no known savings,between 1 and 4 years,2,male div/sep,none,4,no known property,48,none,for free,1,skilled,1,yes,yes,good
between 0 and 200,30,critical/other existing credit,new car,2181,no known savings,greater 7 years,4,male single,none,4,real estate,36,none,own,2,skilled,1,none,yes,good
no checking,18,critical/other existing credit,radio/tv,1098,less 100,unemployed,4,female div/dep/mar,none,4,car,65,none,own,2,unemp/unskilled non res,1,none,yes,good
between 0 and 200,24,existing paid,furniture/equipment,4057,less 100,between 4 and 7 years,3,male div/sep,none,3,car,43,none,own,1,skilled,1,yes,yes,bad
less 0,12,existing paid,education,795,less 100,less 1 year,4,female div/dep/mar,none,4,life insurance,53,none,own,1,skilled,1,none,yes,bad
between 0 and 200,24,critical/other existing credit,business,2825,no known savings,between 4 and 7 years,4,male single,none,3,no known property,34,none,own,2,skilled,2,yes,yes,good
between 0 and 200,48,existing paid,business,15672,less 100,between 1 and 4 years,2,male single,none,2,car,23,none,own,1,skilled,1,yes,yes,bad
no checking,36,critical/other existing credit,new car,6614,less 100,greater 7 years,4,male single,none,4,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
no checking,28,all paid,used car,7824,no known savings,less 1 year,3,male single,guarantor,4,real estate,40,bank,rent,2,skilled,2,yes,yes,good
less 0,27,critical/other existing credit,business,2442,less 100,greater 7 years,4,male single,none,4,car,43,stores,own,4,high qualif/self emp/mgmt,2,yes,yes,good
no checking,15,critical/other existing credit,radio/tv,1829,less 100,greater 7 years,4,male single,none,4,car,46,none,own,2,skilled,1,yes,yes,good
less 0,12,critical/other existing credit,new car,2171,less 100,between 1 and 4 years,4,male single,none,4,life insurance,38,bank,own,2,unskilled resident,1,none,no,good
between 0 and 200,36,critical/other existing credit,used car,5800,less 100,between 1 and 4 years,3,male single,none,4,car,34,none,own,2,skilled,1,yes,yes,good
no checking,18,critical/other existing credit,radio/tv,1169,no known savings,between 1 and 4 years,4,male single,none,3,life insurance,29,none,own,2,skilled,1,yes,yes,good
no checking,36,delayed previously,used car,8947,no known savings,between 4 and 7 years,3,male single,none,2,car,31,stores,own,1,high qualif/self emp/mgmt,2,yes,yes,good
less 0,21,existing paid,radio/tv,2606,less 100,less 1 year,4,female div/dep/mar,none,4,life insurance,28,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,12,critical/other existing credit,furniture/equipment,1592,greater 1000,between 4 and 7 years,3,female div/dep/mar,none,2,life insurance,35,none,own,1,skilled,1,none,no,good
no checking,15,existing paid,furniture/equipment,2186,no known savings,between 4 and 7 years,1,female div/dep/mar,none,4,real estate,33,bank,rent,1,unskilled resident,1,none,yes,good
less 0,18,existing paid,furniture/equipment,4153,less 100,between 1 and 4 years,2,male single,co applicant,3,car,42,none,own,1,skilled,1,none,yes,bad
less 0,16,critical/other existing credit,new car,2625,less 100,greater 7 years,2,male single,guarantor,4,life insurance,43,bank,rent,1,skilled,1,yes,yes,bad
no checking,20,critical/other existing credit,new car,3485,no known savings,less 1 year,2,male div/sep,none,4,real estate,44,none,own,2,skilled,1,yes,yes,good
no checking,36,critical/other existing credit,used car,10477,no known savings,greater 7 years,2,male single,none,4,no known property,42,none,for free,2,skilled,1,none,yes,good
no checking,15,existing paid,radio/tv,1386,no known savings,between 1 and 4 years,4,male mar/wid,none,2,real estate,40,none,rent,1,skilled,1,yes,yes,good
no checking,24,existing paid,radio/tv,1278,less 100,greater 7 years,4,male single,none,1,real estate,36,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
less 0,12,existing paid,radio/tv,1107,less 100,between 1 and 4 years,2,male single,none,2,real estate,20,none,rent,1,high qualif/self emp/mgmt,2,yes,yes,good
less 0,21,existing paid,new car,3763,no known savings,between 4 and 7 years,2,male single,co applicant,2,real estate,24,none,own,1,unskilled resident,1,none,no,good
between 0 and 200,36,existing paid,education,3711,no known savings,between 1 and 4 years,2,male mar/wid,none,2,car,27,none,own,1,skilled,1,none,yes,good
no checking,15,delayed previously,used car,3594,less 100,less 1 year,1,female div/dep/mar,none,2,life insurance,46,none,own,2,unskilled resident,1,none,yes,good
between 0 and 200,9,existing paid,new car,3195,no known savings,between 1 and 4 years,1,female div/dep/mar,none,2,real estate,33,none,own,1,unskilled resident,1,none,yes,good
no checking,36,delayed previously,radio/tv,4454,less 100,between 1 and 4 years,4,female div/dep/mar,none,4,real estate,34,none,own,2,skilled,1,none,yes,good
between 0 and 200,24,critical/other existing credit,furniture/equipment,4736,less 100,less 1 year,2,female div/dep/mar,none,4,car,25,bank,own,1,unskilled resident,1,none,yes,bad
between 0 and 200,30,existing paid,radio/tv,2991,no known savings,greater 7 years,2,female div/dep/mar,none,4,car,25,none,own,1,skilled,1,none,yes,good
no checking,11,existing paid,business,2142,greater 1000,greater 7 years,1,male div/sep,none,2,real estate,28,none,own,1,skilled,1,yes,yes,good
less 0,24,all paid,business,3161,less 100,between 1 and 4 years,4,male single,none,2,life insurance,31,none,rent,1,skilled,1,yes,yes,bad
between 0 and 200,48,no credits/all paid,other,18424,less 100,between 1 and 4 years,1,female div/dep/mar,none,2,life insurance,32,bank,own,1,high qualif/self emp/mgmt,1,yes,no,bad
no checking,10,existing paid,used car,2848,between 100 and 500,between 1 and 4 years,1,male single,co applicant,2,real estate,32,none,own,1,skilled,2,none,yes,good
less 0,6,existing paid,new car,14896,less 100,greater 7 years,1,male single,none,4,no known property,68,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
less 0,24,existing paid,furniture/equipment,2359,between 100 and 500,unemployed,1,male div/sep,none,1,life insurance,33,none,own,1,skilled,1,none,yes,bad
less 0,24,existing paid,furniture/equipment,3345,less 100,greater 7 years,4,male single,none,2,life insurance,39,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,18,critical/other existing credit,furniture/equipment,1817,less 100,between 1 and 4 years,4,female div/dep/mar,none,2,no known property,28,none,own,2,skilled,1,none,yes,good
no checking,48,delayed previously,radio/tv,12749,between 500 and 1000,between 4 and 7 years,4,male single,none,1,car,37,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
less 0,9,existing paid,radio/tv,1366,less 100,less 1 year,3,female div/dep/mar,none,4,life insurance,22,none,rent,1,skilled,1,none,yes,bad
between 0 and 200,12,existing paid,new car,2002,less 100,between 4 and 7 years,3,male single,none,4,life insurance,30,none,rent,1,skilled,2,yes,yes,good
less 0,24,all paid,furniture/equipment,6872,less 100,less 1 year,2,male div/sep,none,1,life insurance,55,bank,own,1,skilled,1,yes,yes,bad
less 0,12,all paid,new car,697,less 100,less 1 year,4,male single,none,2,car,46,bank,own,2,skilled,1,yes,yes,bad
less 0,18,critical/other existing credit,furniture/equipment,1049,less 100,less 1 year,4,female div/dep/mar,none,4,life insurance,21,none,rent,1,skilled,1,none,yes,good
less 0,48,existing paid,used car,10297,less 100,between 4 and 7 years,4,male single,none,4,no known property,39,stores,for free,3,skilled,2,yes,yes,bad
no checking,30,existing paid,radio/tv,1867,no known savings,greater 7 years,4,male single,none,4,car,58,none,own,1,skilled,1,yes,yes,good
less 0,12,delayed previously,new car,1344,less 100,between 1 and 4 years,4,male single,none,2,real estate,43,none,own,2,unskilled resident,2,none,yes,good
less 0,24,existing paid,furniture/equipment,1747,less 100,less 1 year,4,male single,co applicant,1,life insurance,24,none,own,1,unskilled resident,1,none,no,good
between 0 and 200,9,existing paid,radio/tv,1670,less 100,less 1 year,4,female div/dep/mar,none,2,car,22,none,own,1,skilled,1,yes,yes,bad
no checking,9,critical/other existing credit,new car,1224,less 100,between 1 and 4 years,3,male single,none,1,real estate,30,none,own,2,skilled,1,none,yes,good
no checking,12,critical/other existing credit,radio/tv,522,between 500 and 1000,greater 7 years,4,male single,none,4,life insurance,42,none,own,2,skilled,2,yes,yes,good
less 0,12,existing paid,radio/tv,1498,less 100,between 1 and 4 years,4,female div/dep/mar,none,1,car,23,bank,own,1,skilled,1,none,yes,good
between 0 and 200,30,delayed previously,radio/tv,1919,between 100 and 500,less 1 year,4,male single,none,3,no known property,30,stores,own,2,high qualif/self emp/mgmt,1,none,yes,bad
greater 200,9,existing paid,radio/tv,745,less 100,between 1 and 4 years,3,female div/dep/mar,none,2,real estate,28,none,own,1,unskilled resident,1,none,yes,bad
