,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
596,less 0,44.504820667987765,critical/other existing credit,furniture/equipment,3483.2371773921786,less 100,greater 7 years,2.883494022266259,male single,none,4.0,car,55.631083688272376,none,own,1.1165059777337412,skilled,1.0,none,yes,bad
597,less 0,48.0,existing paid,new car,7607.935450739613,less 100,between 4 and 7 years,2.747718773897414,male single,none,2.0,no known property,34.27965593933362,none,own,1.0,skilled,1.0,yes,yes,bad
598,less 0,24.28156891785628,existing paid,business,2039.6064594861484,less 100,less 1 year,2.0,female div/dep/mar,none,4.0,life insurance,21.46928152976047,none,own,1.0,skilled,1.9530718470239532,none,yes,bad
599,less 0,13.984501828023083,existing paid,radio/tv,888.736898983881,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,3.0,car,29.692496953294864,none,own,1.0,unskilled resident,1.0,none,yes,bad
600,less 0,48.0,delayed previously,new car,6682.498607631438,less 100,greater 7 years,3.4472350331645103,male single,none,4.0,no known property,55.23617516582255,none,for free,2.0,skilled,1.55276496683549,none,yes,bad
601,between 0 and 200,14.150632222537546,existing paid,repairs,821.8548651792989,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,1.0,real estate,28.283122592487484,none,own,1.0,skilled,1.0,none,yes,bad
602,less 0,23.881989502296275,existing paid,furniture/equipment,3212.168057924811,less 100,less 1 year,4.0,female div/dep/mar,none,4.0,real estate,23.019668416283956,none,rent,1.0196684162839542,skilled,1.0,none,yes,bad
603,less 0,22.643767391889693,existing paid,furniture/equipment,4726.581717999234,less 100,between 4 and 7 years,1.9246537439938718,female div/dep/mar,none,4.0,car,25.527423792042896,none,own,1.0,skilled,1.0,none,yes,bad
604,less 0,40.165817884276905,existing paid,radio/tv,3592.355333488925,less 100,greater 7 years,4.0,male single,none,3.305697019287182,car,33.08290894213845,none,own,1.0,skilled,1.0,none,yes,bad
605,less 0,38.290932373804154,existing paid,furniture/equipment,6588.821803187175,less 100,less 1 year,2.190911031150346,female div/dep/mar,none,4.0,car,23.190911031150346,none,own,1.8090889688496539,skilled,1.0,none,yes,bad
606,between 0 and 200,18.0,existing paid,new car,2237.4312479055634,less 100,between 1 and 4 years,2.731525143109843,female div/dep/mar,none,2.0,life insurance,33.073899427560626,none,own,2.0,skilled,1.268474856890157,none,yes,bad
607,less 0,14.911679245657893,existing paid,new car,2071.3972515069736,less 100,unemployed,4.0,male single,none,1.0,real estate,37.852798742763156,none,own,1.0,unskilled resident,2.0,none,yes,bad
608,less 0,12.0,no credits/all paid,furniture/equipment,1703.0820977957915,less 100,less 1 year,4.0,male single,none,3.6273131329059507,real estate,26.2546262658119,none,rent,3.2546262658119014,skilled,1.0,none,yes,bad
609,less 0,28.736297601713666,existing paid,furniture/equipment,3346.578765867238,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,2.0,car,34.6583938650958,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
610,less 0,23.06527884435787,existing paid,new car,2919.6221179856966,less 100,less 1 year,4.0,female div/dep/mar,none,3.8442131407263114,real estate,23.0,none,rent,1.0,skilled,1.0,none,yes,bad
611,less 0,12.0,existing paid,radio/tv,1473.2925757260573,less 100,less 1 year,2.0,male mar/wid,none,1.0,life insurance,24.790050504432497,none,own,1.0,skilled,1.0,none,yes,bad
612,less 0,36.84499357019453,existing paid,radio/tv,3589.048590066095,less 100,between 1 and 4 years,3.929583869150456,female div/dep/mar,none,2.0,car,28.211248392548633,none,own,1.0,skilled,1.0,yes,yes,bad
613,less 0,22.746487694307838,existing paid,new car,2964.28593555857,less 100,less 1 year,4.0,female div/dep/mar,none,4.0,real estate,23.0,none,rent,1.0,skilled,1.0,none,yes,bad
614,less 0,10.657712966351898,existing paid,furniture/equipment,1708.4938631566772,less 100,less 1 year,2.0,female div/dep/mar,none,2.3288564831759495,car,25.0,none,own,1.0,unskilled resident,1.0,none,yes,bad
615,less 0,40.30376137555397,existing paid,radio/tv,9461.945170055373,less 100,between 1 and 4 years,3.641353218703836,female div/dep/mar,none,2.0,car,27.79323390648082,none,own,1.641353218703836,high qualif/self emp/mgmt,1.0,yes,yes,bad
616,less 0,44.95003621116314,existing paid,education,2778.0282408991006,less 100,between 1 and 4 years,3.2541636490697385,male single,none,4.0,no known property,50.44170891302366,none,own,1.0,skilled,1.0,none,yes,bad
617,less 0,12.0,existing paid,furniture/equipment,887.864634243811,less 100,between 1 and 4 years,2.0,male single,none,3.0,car,28.248196472608328,none,own,1.0,unskilled resident,1.0,none,yes,bad
618,less 0,39.870609170863204,critical/other existing credit,business,3549.393437963694,less 100,greater 7 years,4.0,male single,none,4.0,no known property,53.451941593375395,none,for free,2.0,skilled,1.0,yes,yes,bad
619,less 0,28.63802815432207,existing paid,furniture/equipment,7307.920198126811,less 100,greater 7 years,4.0,male single,none,4.0,no known property,30.848669794924675,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
620,between 0 and 200,12.0,existing paid,new car,1243.3565783848621,between 100 and 500,between 1 and 4 years,1.1366213314420288,male mar/wid,none,1.2732426628840576,car,44.63378668557971,none,own,1.8633786685579712,skilled,1.0,none,yes,bad
621,less 0,28.25346598146071,delayed previously,new car,1701.6178968092738,less 100,greater 7 years,4.0,male single,none,4.0,real estate,64.2534659814607,none,own,1.2910890030898814,unskilled resident,1.0,none,yes,bad
622,less 0,20.683080138552555,existing paid,new car,1687.213026791323,less 100,less 1 year,4.0,female div/dep/mar,none,4.0,real estate,23.894360046184186,none,rent,1.0,skilled,1.0,none,yes,bad
623,between 0 and 200,7.779060861886791,existing paid,radio/tv,1086.2448005298115,less 100,greater 7 years,4.0,male single,none,4.0,car,48.77906086188679,none,own,1.0,unskilled resident,1.0,none,yes,bad
624,less 0,12.0,existing paid,radio/tv,1395.2264710362804,less 100,less 1 year,2.0,male mar/wid,none,1.0,car,23.259342569338827,none,own,1.0,skilled,1.0,none,yes,bad
625,less 0,19.53724166156675,critical/other existing credit,new car,5731.1409010225225,less 100,greater 7 years,2.0,male single,none,4.0,life insurance,36.950344451244334,bank,rent,2.0,skilled,1.743793056405542,yes,yes,bad
626,less 0,41.00724679558225,existing paid,business,3841.8164530388167,less 100,less 1 year,2.6115137108656805,female div/dep/mar,none,4.0,car,26.719404023940236,none,own,1.0,skilled,1.0,none,yes,bad
627,less 0,23.020869835197114,existing paid,radio/tv,1005.3149326883454,less 100,greater 7 years,4.0,male single,none,4.0,car,48.4079709020012,none,own,1.0,skilled,1.0,none,yes,bad
628,no checking,9.077772941609801,existing paid,radio/tv,657.2560938220636,less 100,between 1 and 4 years,4.0,male single,none,2.9948151372260132,car,28.02073945109595,none,own,1.0,unskilled resident,1.0,none,yes,bad
629,between 0 and 200,54.41841622422954,existing paid,business,8978.545138847114,less 100,between 1 and 4 years,3.255788829897272,male single,none,4.0,car,33.39526090464045,none,rent,1.372105585051364,skilled,1.0,yes,yes,bad
630,between 0 and 200,11.417178139463873,existing paid,new car,1171.7116762728208,less 100,between 1 and 4 years,1.0,female div/dep/mar,none,1.1942739535120421,life insurance,42.69734279029528,none,own,1.8057260464879579,skilled,1.0,none,yes,bad
631,between 0 and 200,14.787177249000216,existing paid,new car,1272.6547918739911,no known savings,between 1 and 4 years,2.0,female div/dep/mar,none,2.0,life insurance,25.07094091699993,none,own,1.0,skilled,1.0,none,yes,bad
632,less 0,24.0,existing paid,new car,2494.791729900526,less 100,less 1 year,4.0,female div/dep/mar,none,4.0,real estate,23.793567654427775,none,rent,1.0,skilled,1.0,none,yes,bad
633,between 0 and 200,48.0,existing paid,radio/tv,6529.081964597008,less 100,between 1 and 4 years,2.949231468960603,male single,none,2.0,car,23.898462937921206,none,own,1.0,skilled,1.0,none,yes,bad
634,between 0 and 200,22.63940578740792,existing paid,new car,906.042754767102,no known savings,between 1 and 4 years,4.0,female div/dep/mar,none,2.0,life insurance,28.31970289370396,none,own,1.0,skilled,1.0,none,yes,bad
635,less 0,36.0,existing paid,radio/tv,10893.662810619393,less 100,between 1 and 4 years,3.9723832281262954,female div/dep/mar,none,2.0,car,25.972383228126297,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
636,less 0,29.053621253909295,existing paid,furniture/equipment,1576.4254923087692,no known savings,greater 7 years,4.0,male single,none,4.0,no known property,35.36908083593953,stores,own,1.0,skilled,1.0,none,yes,bad
637,less 0,14.630844738108522,existing paid,new car,949.2752084335916,less 100,less 1 year,4.0,female div/dep/mar,none,3.0,life insurance,22.43847412301809,none,own,1.0,skilled,1.0,none,yes,bad
638,less 0,44.06431362354239,existing paid,radio/tv,5639.937095221335,less 100,between 1 and 4 years,3.3279738647048007,female div/dep/mar,none,2.0,car,30.016078405885597,none,own,1.0,skilled,1.0,yes,yes,bad
639,less 0,40.031083995151604,existing paid,radio/tv,3564.981898348302,less 100,greater 7 years,4.0,male single,none,3.3281526674747317,car,33.0155419975758,none,own,1.0,skilled,1.0,none,yes,bad
640,less 0,29.744126048717373,existing paid,furniture/equipment,3816.030191433495,less 100,between 1 and 4 years,1.1550416167277442,female div/dep/mar,none,4.0,car,22.534875149816767,none,rent,1.8449583832722558,skilled,1.0,none,yes,bad
641,less 0,23.782090659726375,existing paid,radio/tv,1019.8415634231114,less 100,greater 7 years,4.0,male single,none,4.0,real estate,48.09079555844735,none,own,1.0,skilled,1.0,none,yes,bad
642,between 0 and 200,37.932797975167645,existing paid,radio/tv,8905.056916701593,less 100,between 1 and 4 years,1.8389335020693633,female div/dep/mar,none,1.0,car,25.610664979306364,none,own,1.1610664979306367,skilled,1.0,yes,yes,bad
643,between 0 and 200,18.0,existing paid,furniture/equipment,3916.9442095650425,less 100,between 1 and 4 years,2.0,male single,none,2.860404618311675,car,39.20809236623351,none,own,1.0,skilled,1.0,none,yes,bad
644,less 0,8.002010884126914,existing paid,new car,13159.348162403028,less 100,between 4 and 7 years,1.0,male single,none,2.500502721031728,car,28.50552993134901,none,own,1.0,skilled,1.0,yes,yes,bad
645,less 0,12.23300840657654,existing paid,repairs,2929.155562475412,less 100,less 1 year,4.0,female div/dep/mar,none,3.038834734429423,real estate,24.922330531141156,none,rent,1.961165265570577,skilled,1.0,none,yes,bad
646,less 0,26.360813823921326,existing paid,furniture/equipment,4396.683913987232,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,1.6967344853267772,car,27.090203455980333,none,own,1.6967344853267772,high qualif/self emp/mgmt,1.0,yes,yes,bad
647,between 0 and 200,41.555010873640136,existing paid,radio/tv,8016.030460130133,less 100,between 1 and 4 years,2.4629175728033443,male single,none,1.4629175728033446,car,24.0,none,own,1.0,skilled,1.0,none,yes,bad
648,between 0 and 200,48.0,existing paid,radio/tv,6214.607552129405,less 100,between 1 and 4 years,2.326651241796041,female div/dep/mar,none,2.0,car,24.93986117616437,none,own,1.0,skilled,1.0,yes,yes,bad
649,less 0,10.549178965911702,existing paid,furniture/equipment,1023.8605626706326,less 100,between 1 and 4 years,4.0,male single,none,1.0,real estate,32.237702950761346,none,own,1.0,skilled,1.1721309962124113,none,yes,bad
650,less 0,48.0,existing paid,education,4155.63658155471,less 100,greater 7 years,3.0,male single,none,4.0,no known property,53.72845708418026,none,own,1.271542915819742,skilled,1.271542915819742,none,yes,bad
651,less 0,23.79151098234462,critical/other existing credit,new car,4231.444253357462,less 100,greater 7 years,1.0,male single,none,4.0,real estate,35.89575549117231,bank,rent,3.0,skilled,1.0,yes,yes,bad
652,less 0,21.256409030317627,existing paid,new car,2643.6706763566763,less 100,less 1 year,4.0,female div/dep/mar,none,4.0,real estate,23.0,none,rent,1.0,skilled,1.0,none,yes,bad
653,less 0,18.0,existing paid,furniture/equipment,1946.2691973434291,less 100,between 1 and 4 years,2.8420230750119813,male single,none,2.0,car,32.63190769995207,none,own,2.0,skilled,1.1579769249880187,none,yes,bad
654,no checking,18.0,existing paid,new car,2042.1913895764903,less 100,between 1 and 4 years,2.805619966005127,female div/dep/mar,none,2.0,car,32.77752013597949,none,own,2.0,skilled,1.194380033994873,none,yes,bad
655,no checking,38.46812343034007,delayed previously,radio/tv,4420.034918070182,less 100,between 1 and 4 years,2.4113539050566786,male single,none,2.0,car,28.354584379773286,none,own,2.0,skilled,1.4113539050566786,yes,yes,bad
656,less 0,16.60097557846561,critical/other existing credit,new car,3027.9541253611933,less 100,greater 7 years,1.6995122107671938,male single,none,4.0,real estate,39.99512210767194,bank,rent,1.6009755784656123,skilled,1.0,yes,yes,bad
657,between 0 and 200,22.339762890986385,existing paid,new car,876.814546492687,between 100 and 500,between 1 and 4 years,4.0,female div/dep/mar,none,2.0,car,29.138353092417802,none,own,1.0,skilled,1.0,none,yes,bad
658,less 0,24.0,existing paid,new car,1296.4161063128954,less 100,less 1 year,4.0,female div/dep/mar,none,4.0,real estate,31.07078204429921,none,rent,1.0,skilled,1.0,none,yes,bad
659,less 0,11.817221202684953,existing paid,education,699.6580503033224,less 100,greater 7 years,4.0,male single,none,4.0,no known property,39.8476843355708,none,for free,1.0,skilled,1.9695368671141589,none,yes,bad
660,no checking,32.575141250159426,critical/other existing credit,furniture/equipment,11432.074857791176,less 100,greater 7 years,4.0,female div/dep/mar,none,2.0,no known property,31.137288124760865,none,own,1.714595104179952,high qualif/self emp/mgmt,1.0,yes,yes,bad
661,less 0,9.123202550303626,existing paid,new car,976.5358296598829,less 100,less 1 year,1.0410675167678758,female div/dep/mar,none,2.0,car,28.876797449696372,none,own,1.0,skilled,1.0,none,yes,bad
662,less 0,10.196462704334383,critical/other existing credit,radio/tv,1303.1059577053686,less 100,greater 7 years,4.0,male single,none,3.3988209014447945,no known property,41.17288073323027,none,for free,2.0,skilled,2.0,none,yes,bad
663,less 0,39.39887557451555,existing paid,radio/tv,3436.5382208890755,less 100,greater 7 years,4.0,male single,none,3.433520737580742,car,32.69943778725777,none,own,1.0,skilled,1.0,none,yes,bad
664,between 0 and 200,19.535744142005306,existing paid,new car,1881.4124171212445,less 100,between 1 and 4 years,4.0,male single,none,2.0,car,33.41659700198761,none,own,1.0,unskilled resident,1.0,none,yes,bad
665,between 0 and 200,48.0,existing paid,business,12142.80394433012,less 100,between 1 and 4 years,1.2508605273466613,male single,none,2.0,car,25.996557890613357,none,own,1.7491394726533387,skilled,1.0,yes,yes,bad
666,less 0,12.0,existing paid,education,741.995727705315,less 100,greater 7 years,4.0,male single,none,4.0,car,54.05066121069808,none,own,1.0,unskilled resident,1.18433367433137,none,yes,bad
667,less 0,17.514762200296815,existing paid,furniture/equipment,2192.337656791532,less 100,less 1 year,4.0,female div/dep/mar,none,3.9191270333828023,real estate,24.0808729666172,none,rent,2.0,skilled,1.0,none,yes,bad
668,no checking,13.715056575179677,existing paid,furniture/equipment,3624.598958914609,less 100,between 1 and 4 years,3.428314474940108,male single,none,2.0,life insurance,40.85662894988022,none,own,1.4283144749401078,high qualif/self emp/mgmt,1.0,yes,yes,bad
669,less 0,39.7380011908156,existing paid,radio/tv,3524.997556067568,less 100,between 1 and 4 years,4.0,male single,none,2.0,car,31.115000992346335,none,own,1.0,skilled,1.0,yes,yes,bad
670,less 0,36.0,existing paid,radio/tv,8234.285169334064,less 100,unemployed,3.0581935955084436,female div/dep/mar,none,2.0,car,25.058193595508445,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
671,less 0,48.0,existing paid,furniture/equipment,7398.676758194625,less 100,less 1 year,2.0847862723735195,female div/dep/mar,none,4.0,life insurance,35.89777845914424,none,rent,1.0,skilled,1.0,none,yes,bad
672,less 0,16.88470445946221,existing paid,new car,3300.9142070291277,less 100,greater 7 years,2.0,male single,none,3.5576477702688956,life insurance,42.55764777026889,none,rent,1.0,skilled,1.0,yes,yes,bad
673,less 0,25.438724154944417,existing paid,furniture/equipment,3497.989084752252,less 100,between 1 and 4 years,2.0,female div/dep/mar,none,4.0,car,31.0,none,own,1.7602126408425969,skilled,1.0,none,yes,bad
674,between 0 and 200,13.126479480975501,existing paid,radio/tv,1536.099675995117,less 100,less 1 year,1.9061267099187083,female div/dep/mar,none,1.0,life insurance,24.718380129756127,none,own,1.0,skilled,1.0,none,yes,bad
675,less 0,12.731463988429228,critical/other existing credit,furniture/equipment,4437.403218415992,less 100,greater 7 years,2.8171340028926926,male single,none,4.0,no known property,43.0,none,own,1.8171340028926926,skilled,1.0,yes,yes,bad
676,less 0,23.60768398403826,existing paid,furniture/equipment,8354.874550073919,less 100,between 1 and 4 years,2.0,male single,none,2.0,car,27.588474023942613,none,own,2.0,skilled,1.0653860026602904,none,yes,bad
677,less 0,20.170376436939897,existing paid,radio/tv,1984.5180028601085,less 100,less 1 year,4.0,female div/dep/mar,none,2.0,car,28.36172940615665,none,own,1.0,unskilled resident,1.0,yes,yes,bad
678,less 0,39.1001775445594,existing paid,furniture/equipment,3375.852737802985,less 100,greater 7 years,4.0,male single,none,3.4833037425734332,car,32.5500887722797,bank,own,1.0,skilled,1.0,none,yes,bad
679,between 0 and 200,48.0,existing paid,business,14056.651468564287,less 100,between 1 and 4 years,1.6571113285001668,male single,none,2.0,car,24.371554685999335,none,own,1.3428886714998332,skilled,1.0,yes,yes,bad
680,less 0,36.77192521586531,existing paid,radio/tv,5004.07986334677,less 100,greater 7 years,4.0,male single,none,3.435672898677891,car,32.69298130396633,none,own,1.0,skilled,1.0,none,yes,bad
681,less 0,39.23952820125818,existing paid,education,2266.937774012607,less 100,between 1 and 4 years,3.7300393165618186,male single,none,4.0,no known property,43.77944956813454,none,own,1.0,skilled,1.0,none,yes,bad
682,less 0,23.713703233850108,existing paid,new car,1242.1190699810536,less 100,less 1 year,4.0,female div/dep/mar,none,4.0,real estate,23.95228387230835,none,rent,1.0,skilled,1.0,none,yes,bad
683,between 0 and 200,15.0,all paid,new car,3688.1161421800903,between 100 and 500,greater 7 years,1.5660372104940763,male single,none,2.0,life insurance,28.90566510555331,bank,own,1.0,high qualif/self emp/mgmt,1.4339627895059237,yes,yes,bad
684,less 0,11.524060657072527,existing paid,new car,715.4188093220982,less 100,less 1 year,4.0,female div/dep/mar,none,3.0,car,32.206767761787546,none,own,1.0,unskilled resident,1.0,none,yes,bad
685,between 0 and 200,6.7209878868338535,existing paid,new car,979.0658591222568,less 100,between 1 and 4 years,1.1201646478056422,female div/dep/mar,none,1.0,life insurance,30.79835352194358,none,own,1.0,skilled,1.0,none,yes,bad
